基隆市中山區,73
台中市和平區,71
江蘇省南京市,71
雲林縣元長鄉,70
屏東縣新園鄉,69
屏東縣萬丹鄉,68
浙江省杭州市,68
台南市後壁區,68
台南市鹽水區,68
宜蘭縣頭城鎮,68
基隆市,66
雲林縣土庫鎮,66
金門縣金湖鎮,63
新北市金山區,63
新北市三芝區,62
台南市白河區,61
美加地區,60
新北市烏來區,59
南投縣仁愛鄉,58
河南省鄭州市,58
花蓮縣玉里鎮,57
金門縣金城鎮,57
廣東省珠海市,57
花蓮縣新城鄉,56
台南市學甲區,56
墨西哥,56
雲林縣莿桐鄉,55
台東縣卑南鄉,55
廣東省佛山市,55
高雄市彌陀區,55
南投縣鹿谷鄉,54
印度,54
彰化縣,53
雲林縣大埤鄉,52
四川省成都市,52
台南市六甲區,51
江蘇省常州市,50
台中市新社區,50
高雄市旗津區,46
南投縣名間鄉,45
屏東縣里港鄉,44
嘉義縣番路鄉,43
台南市七股區,43
嘉義縣竹崎鄉,42
高雄市茄萣區,42
台東縣鹿野鄉,41
嘉義縣義竹鄉,41
宜蘭縣三星鄉,40
浙江省,40
新竹縣北埔鄉,39
江蘇省淮安市,39
苗栗縣泰安鄉,37
福建省福州市,37
江蘇省南通市,36
嘉義縣布袋鎮,36
新竹縣橫山鄉,36
宜蘭縣大同鄉,36
雲林縣褒忠鄉,36
澳州,34
南投縣國姓鄉,34
屏東縣鹽埔鄉,34
屏東縣麟洛鄉,33
雲林縣二崙鄉,32
苗栗縣大湖鄉,32
台南市東山區,32
福建省漳州市,31
屏東縣高樹鄉,31
山東省棗庄市,31
英國,31
江蘇省揚州市,31
台南市楠西區,31
屏東縣新埤鄉,31
雲林縣林內鄉,31
山東省青島市,30
福建省,30
苗栗縣三灣鄉,29
苗栗縣西湖鄉,28
嘉義縣市,28
德國,28
台南市下營區,28
嘉義縣東石鄉,28
彰化縣田尾鄉,27
花蓮縣瑞穗鄉,27
彰化縣溪州鄉,27
彰化縣大城鄉,27
新北市坪林區,27
屏東縣九如鄉,26
連江縣南竿鄉,25
苗栗縣南庄鄉,25
屏東縣車城鄉,24
宜蘭縣壯圍鄉,24
孟加拉,24
南韓,24
嘉義縣梅山鄉,24
福建省泉州市,24
屏東縣竹田鄉,24
金門縣金寧鄉,24
雲林縣,23
福建省莆田市,23
高雄市美濃區,21
廣東省清遠市,21
嘉義縣溪口鄉,21
台南市玉井區,20
苗栗縣,20
南投縣,20
南投縣信義鄉,20
廣東省江門市,20
彰化縣竹塘鄉,20
巴西,20
屏東縣,20
嘉義縣鹿草鄉,19
台南市將軍區,19
桃園市復興區,19
台南市南化區,19
宜蘭縣南澳鄉,18
南投縣水里鄉,18
苗栗縣頭屋鄉,18
彰化縣二水鄉,18
金門縣金沙鎮,18
高雄市田寮區,17
湖北省武漢市,17
廣東省肇慶市,16
山東省煙台市,16
苗栗縣卓蘭鎮,16
歐洲,16
花蓮縣,16
屏東縣佳冬鄉,15
高雄市甲仙區,15
雲林縣崙背鄉,15
加拿大,15
亞洲其他,15
廣西南寧市,15
金門縣,15
非洲,15
嘉義縣大埔鄉,15
澎湖縣,15
新竹縣尖石鄉,14
新竹縣峨眉鄉,14
台南市北門區,14
台東縣太麻里鄉,14
荷蘭,14
山東省濟南市,13
雲林縣四湖鄉,13
新北市石碇區,13
雲林縣水林鄉,13
嘉義縣六腳鄉,13
宜蘭縣,13
新北市平溪區,12
新北市石門區,12
遼寧省大連市,12
屏東縣崁頂鄉,12
屏東縣牡丹鄉,11
浙江省金華市,11
賴索托,11
山東省,11
雲林縣東勢鄉,11
台南市大內區,10
浙江省湖州市,10
江蘇省泰州市,10
台南市左鎮區,10
澎湖縣湖西鄉,10
屏東縣南州鄉,10
台東縣池上鄉,10
台東縣,10
屏東縣琉球鄉,10
屏東縣萬巒鄉,9
花蓮縣鳳林鎮,9
台南市龍崎區,9
江蘇省鎮江市,9
貴州省六盤水市,9
河北省邯鄲市,9
屏東縣林邊鄉,9
屏東縣獅子鄉,9
南投縣集集鎮,8
河北省秦皇島市,8
高雄市六龜區,8
台東縣大武鄉,8
河北省廊坊市,8
新北市雙溪區,8
江西省南昌市,7
美國北卡羅萊納州,7
美西地區,7
東歐,7
嘉義縣阿里山鄉,7
捷克,7
貴州省貴陽市,7
雲林縣口湖鄉,7
江西省贛州市,7
廣東省汕頭市,7
澎湖縣西嶼鄉,7
安徽省馬鞍山市,7
陜西省西安市,7
浙江省紹興市,6
美東地區,6
廣西貴港市,6
海南省省直轄,6
美國德克薩斯州,6
高雄市杉林區,6
江蘇省鹽城市,6
衣索比亞,6
南投縣中寮鄉,6
屏東縣滿州鄉,6
台東縣關山鎮,6
屏東縣瑪家鄉,6
中美洲,5
湖北省,5
屏東縣霧台鄉,5
江蘇省宿遷市,5
江蘇省連雲港市,5
美國俄亥俄州,5
山東省濰坊市,5
屏東縣枋山鄉,5
河南省駐馬店市,5
江西省九江市,5
台東縣東河鄉,5
廣東省河源市,5
屏東縣三地門鄉,5
安徽省阜陽市,4
尼加拉瓜,4
遼寧省瀋陽市,4
苗栗縣獅潭鄉,4
寮國,4
中南美洲,4
海地,4
台東縣達仁鄉,4
高雄市內門區,4
高雄市那瑪夏區,4
阿拉伯大公國,4
廣西梧州市,4
連江縣東引鄉,3
南美洲,3
宏都拉斯,3
史瓦濟蘭,3
金門縣烈嶼鄉,3
花蓮縣豐濱鄉,3
山東省荷澤市,3
湖南省長沙市,3
海南省,3
雲林縣台西鄉,3
高雄市茂林區,3
屏東縣春日鄉,3
西非,3
紐西蘭,3
巴拿馬,3
屏東縣來義鄉,3
湖北省黃石市,3
廣東省湛江市,3
美國密西根州,3
西班牙,3
美中地區,3
連江縣北竿鄉,3
台東縣長濱鄉,3
中歐,3
湖南省永州市,3
薩爾瓦多,3
新竹縣五峰鄉,3
美國紐約州,3
台東縣金峰鄉,3
美國新澤西州,2
法國,2
江西省鷹潭市,2
蘇利南,2
台東縣成功鎮,2
陜西省,2
浙江省溫州市,2
河南省平頂山市,2
湖南省,2
美國明尼蘇達州,2
安徽省,2
陜西省渭南市,2
斯里蘭卡,2
河南省洛陽市,2
四川省,2
多明尼加,2
沙烏地阿拉伯,2
台東縣綠島鄉,2
奈及利亞,2
屏東縣泰武鄉,2
四川省內江市,2
約旦,2
廣西壯族自治區,2
美國喬治亞州,2
花蓮縣富里鄉,2
高雄市桃源區,2
遼寧省盤錦市,2
美國威斯康辛州,2
河南省商丘市,2
浙江省麗水市,1
福建省寧德市,1
馬達加斯加,1
山東省德州市,1
江西省,1
